City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Santa Isabel Rio Negro,100,BR,1589964487,99,-0.41,-65.02,296.33,0.48
Kingaroy,75,AU,1589964488,100,-26.53,151.83,289.15,1.5
Flinders,11,AU,1589964491,68,-34.58,150.86,292.04,0.45
La Paz,29,BO,1589964492,74,-16.5,-68.15,273.15,1.5
Nelson Bay,75,AU,1589964497,77,-32.72,152.15,292.15,2.6
Coaraci,94,BR,1589964498,97,-14.64,-39.55,291.87,1.6
Pontes e Lacerda,100,BR,1589964502,94,-15.23,-59.34,294.19,0.68
Ambilobe,0,MG,1589964503,36,-13.2,49.05,305.77,1.11
Wagga Wagga,0,AU,1589964507,71,-35.12,147.37,285.15,3.1
Mendi,91,PG,1589964512,98,-6.18,143.65,288.55,0.5
Tingo María,18,PE,1589964516,83,-9.29,-76.01,291.77,0.94
Coquimbo,100,CL,1589964518,81,-29.95,-71.34,285.15,2.1
Tadine,1,NC,1589964524,77,-21.55,167.88,294.22,7.52
Micheweni,80,TZ,1589964525,91,-4.97,39.83,298.07,6.38
Oeiras,27,BR,1589964532,88,-7.03,-42.13,295.01,2.73
Palmares do Sul,0,BR,1589964533,81,-30.26,-50.51,288.52,1.42
Bowen,90,AU,1589964536,94,-20.02,148.23,295.93,3.6
Beloha,6,MG,1589964541,50,-25.17,45.05,297.42,6.74
Constitución,100,CL,1589964544,88,-35.33,-72.42,285.72,1.06
Caravelas,7,BR,1589964551,89,-17.71,-39.25,294.85,2.28
Urucará,95,BR,1589964555,98,-2.54,-57.76,296.02,0.17
Acaraú,8,BR,1589964560,91,-2.89,-40.12,297.58,4.19
São Joaquim,17,BR,1589964564,100,-28.29,-49.93,281.93,2.81
Launceston,90,AU,1589964566,93,-41.45,147.17,283.71,9.3
Kilindoni,98,TZ,1589964569,83,-7.91,39.67,298.78,8.87
Tual,65,ID,1589964572,82,-5.67,132.75,301.69,5.34
General Roca,75,AR,1589964574,100,-39.03,-67.58,281.15,2.56
Tamandaré,65,BR,1589964577,88,-8.76,-35.1,298.42,3.33
Luanda,20,AO,1589964579,78,-8.84,13.23,301.15,1.5
Esmeraldas,83,BR,1589964583,87,-19.76,-44.31,289.15,5.1
Kabinda,3,CD,1589964584,49,-6.13,24.48,301.51,3.18
Atambua,33,ID,1589964545,70,-9.11,124.89,298.1,5.64
Kokopo,22,PG,1589964587,81,-4.35,152.26,300.11,4.22
Katobu,13,ID,1589964590,91,-4.94,122.53,299.92,1.64
Gizo Government Station,67,SB,1589964600,79,-8.1,156.84,301.72,5.35
Cap Malheureux,0,MU,1589964601,62,-19.98,57.61,298.15,6.26
La Unión,1,PE,1589964604,77,-5.4,-80.75,293.69,4.51
Nabire,60,ID,1589964614,82,-3.37,135.48,300.37,0.57
Pedro Juan Caballero,20,PY,1589964617,84,-22.55,-55.73,290.23,5.71
Pilar,75,BR,1589964618,94,-9.6,-35.96,297.15,2.1
La Santisima Trinidad,0,BO,1589964625,93,-14.83,-64.9,295.33,1.5
