City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Myanaung,100,MM,1589964213,45,18.28,95.32,308.18,6.25
Ukiah,1,US,1589964214,87,39.15,-123.21,283.15,2.1
Verkhnetulomskiy,40,RU,1589964216,55,68.61,31.8,277.15,3.0
Inírida,100,CO,1589964217,97,3.87,-67.92,295.63,0.25
Binzhou,0,CN,1589964219,24,37.37,118.02,305.37,0.45
Makkah al Mukarramah,0,SA,1589964220,17,21.43,39.83,312.27,3.32
Vardø,75,NO,1589964222,65,70.37,31.11,278.15,3.6
Mandalgovi,100,MN,1589964223,45,45.76,106.27,289.47,4.02
Kyzyl-Suu,100,KG,1589964224,53,42.34,78.0,287.11,2.91
Port Victoria,1,KE,1589964225,71,0.09,33.98,297.1,3.55
Fostoria,90,US,1589964226,81,41.16,-83.42,284.26,6.2
Kloulklubed,90,PW,1589964227,88,7.04,134.26,300.15,5.7
Mayo,20,US,1589964230,54,38.89,-76.51,285.37,4.6
San Miguel,100,SV,1589964116,88,13.48,-88.18,297.85,0.98
Umluj,0,SA,1589964235,42,25.02,37.27,305.44,4.19
Kichera,100,RU,1589964236,40,55.94,110.1,289.31,1.97
Esna,2,EG,1589964237,27,25.29,32.55,311.15,1.0
Banugao,50,PH,1589964238,69,14.73,121.63,306.48,2.68
Coos Bay,90,US,1589964241,93,43.37,-124.22,284.15,2.1
Cap-aux-Meules,0,CA,1589964003,85,47.38,-61.86,275.02,7.3
Patna,75,IN,1589964244,63,25.6,85.12,306.15,4.1
Pirgos,67,GR,1589964246,78,35.12,25.72,308.71,3.1
Camacha,40,PT,1589964247,68,33.08,-16.33,291.15,4.1
Tegul'det,44,RU,1589964249,29,57.31,88.17,300.42,3.2
Kahului,1,US,1589964007,73,20.89,-156.47,297.15,4.1
Fortuna,90,US,1589964057,87,40.6,-124.16,285.93,4.1
Mozelos,75,PT,1589964253,82,41.87,-8.4,294.26,3.1
Sokolo,8,ML,1589964255,13,14.73,-6.12,311.46,4.77
Tazovsky,0,RU,1589964191,36,67.47,78.7,295.79,7.45
Kamenka,99,RU,1589964259,68,51.32,42.77,285.93,2.67
Carolina,40,PR,1589964260,78,18.38,-65.96,299.15,1.5
At-Bashi,14,KG,1589964261,75,41.17,75.81,282.04,4.51
Kiryat Gat,0,IL,1589964262,26,31.61,34.76,314.26,0.45
Rome,1,US,1589964245,57,43.21,-75.46,283.15,3.1
Novobelokatay,98,RU,1589964265,85,55.71,58.95,281.84,4.83
Erenhot,62,CN,1589964267,28,43.65,111.98,294.99,2.37
Abū Zabad,30,SD,1589964268,26,12.35,29.25,309.57,4.56
Eureka,85,US,1589964185,74,40.8,-124.16,286.48,2.68
Umm Kaddadah,98,SD,1589964271,26,13.6,26.69,308.0,4.32
Almuñécar,99,ES,1589964272,49,36.73,-3.69,298.71,2.68
Ostrovnoy,82,RU,1589964273,83,68.05,39.51,275.5,9.1
Balkanabat,0,TM,1589964276,24,39.51,54.37,299.79,2.44
Tsimmerbude,60,RU,1589964278,58,54.67,20.13,285.15,3.0
Zyryanka,0,RU,1589964280,56,65.75,150.85,280.84,8.68
Onega,100,RU,1589964282,78,63.91,38.14,277.74,6.01
Tateyama,75,JP,1589964284,82,34.98,139.87,289.15,5.1
Steinbach am Taunus,40,DE,1589964287,56,50.17,8.57,295.93,1.5
Shamary,75,RU,1589964288,40,57.34,58.22,291.26,2.77
Il'inskoye-Khovanskoye,75,RU,1589964291,57,56.97,39.77,283.15,4.0
Ulaanbaatar,40,MN,1589964294,81,47.91,106.88,283.15,3.0
Bubaque,31,GW,1589964296,62,11.28,-15.83,298.74,4.65
Lompoc,1,US,1589964297,93,34.64,-120.46,284.15,4.32
Wahiawā,90,US,1589964298,88,21.5,-158.02,299.15,2.1
Agadez,0,NE,1589964299,7,19.75,10.25,311.21,3.5
Shimoda,75,JP,1589964301,82,34.67,138.95,289.15,5.1
Navlya,75,RU,1589964304,58,52.83,34.5,285.15,3.0
Meadow Lake,40,US,1589964305,17,34.8,-106.54,291.15,3.1
Pacific Grove,90,US,1589964306,62,36.62,-121.92,288.15,3.1
Kibre Mengist,88,ET,1589964308,83,5.88,38.98,292.7,1.61
Podor,47,MR,1589964311,53,16.65,-14.96,297.15,1.0
Baruun-Urt,88,MN,1589964312,29,46.68,113.28,293.09,1.06
Zemio,99,CF,1589964313,85,5.03,25.14,300.23,1.4
Sitka,90,US,1589964315,87,57.05,-135.33,281.15,3.1
Poykovskiy,20,RU,1589964316,72,61.23,73.33,289.15,4.0
Oruzgan,77,AF,1589964320,16,32.83,66.0,298.6,2.67
Matamoros,3,MX,1589964322,20,25.53,-103.25,300.37,0.45
Havøysund,20,NO,1589964323,69,71.0,24.66,277.15,4.1
Laguna,1,US,1589964324,76,38.42,-121.42,286.48,2.6
San Cristobal,100,VE,1589964327,87,7.77,-72.22,292.82,1.13
Bilma,0,NE,1589964328,6,18.69,12.92,312.5,3.3
Bacolod City,100,PH,1589964112,68,10.67,122.95,304.18,1.54
Srednekolymsk,0,RU,1589964332,67,67.45,153.68,277.92,5.83
Miquelon,0,PM,1589964335,80,47.1,-56.38,277.15,3.1
Sulangan,100,PH,1589964336,69,11.14,123.72,303.98,3.16
Pochutla,33,MX,1589964337,83,15.74,-96.47,299.26,0.26
High Level,90,CA,1589964338,70,58.52,-117.14,282.15,1.5
Tūkrah,36,LY,1589964341,57,32.53,20.58,297.42,6.61
Wentzville,91,US,1589964343,96,38.81,-90.85,288.71,2.57
Makakilo City,90,US,1589964346,88,21.35,-158.09,298.15,2.1
Gazli,0,UZ,1589964347,19,40.13,63.45,300.56,6.97
Yenagoa,99,NG,1589964348,70,4.92,6.26,303.48,2.76
Yining,98,CN,1589964349,63,29.04,114.56,300.82,1.61
Berlevåg,40,NO,1589964350,81,70.86,29.09,277.15,4.1
Yashkul',95,RU,1589964352,42,46.17,45.34,296.05,7.93
Abrau-Dyurso,47,RU,1589964355,56,44.69,37.59,293.15,8.0
Karlshamn,72,SE,1589964356,47,56.17,14.86,288.15,3.1
Erzin,54,TR,1589964357,23,36.96,36.2,309.15,1.0
São Filipe,19,CV,1589964358,77,14.9,-24.5,295.38,4.11
Rjukan,10,NO,1589964359,37,59.88,8.59,284.15,1.0
Chokurdakh,62,RU,1589964360,98,70.63,147.92,271.29,3.28
Nyurba,86,RU,1589964362,28,63.28,118.33,292.25,3.9
Wanning,100,CN,1589964366,70,18.8,110.4,304.21,6.7
Florø,20,NO,1589964367,61,61.6,5.03,282.15,3.1
Longyearbyen,75,SJ,1589964115,80,78.22,15.64,274.15,3.1
Chara,66,RU,1589964372,52,56.91,118.26,285.52,3.29
Batticaloa,100,LK,1589964373,59,7.71,81.69,305.55,2.92
Great Yarmouth,17,GB,1589964376,68,52.61,1.73,293.15,2.6
Banda Aceh,99,ID,1589964377,74,5.56,95.32,300.82,6.26
Port Hardy,96,CA,1589964378,84,50.7,-127.42,283.87,1.6
Kirovo-Chepetsk,100,RU,1589964355,65,58.55,50.04,288.76,1.51
Saint-François,3,FR,1589964380,52,46.42,3.91,297.04,1.5
Warrington,47,GB,1589964106,82,53.39,-2.58,291.48,2.1
Del Rio,1,US,1589964385,51,29.36,-100.9,301.15,4.6
Teeli,5,RU,1589964388,26,51.03,90.23,297.16,2.28
Coahuayana Viejo,0,MX,1589964310,62,18.73,-103.68,294.98,1.19
Upernavik,64,GL,1589964390,97,72.79,-56.15,272.16,3.62
Senneterre,1,CA,1589964184,60,48.38,-77.23,279.15,3.1
Malakal,1,SS,1589964395,31,9.53,31.66,310.64,1.5
Aasiaat,0,GL,1589964396,95,68.71,-52.87,273.23,3.06
Russell,40,US,1589964341,93,32.35,-85.2,292.15,1.52
Hua Hin,20,TH,1589964399,70,12.57,99.96,306.15,8.2
Praia,40,CV,1589964400,68,14.92,-23.51,295.15,8.2
Ishigaki,75,JP,1589964403,88,24.34,124.16,299.15,6.7
Qadirpur Ran,0,PK,1589964407,22,30.29,71.67,311.15,5.1
Chumikan,100,RU,1589964408,96,54.72,135.31,274.2,3.81
Kolāras,0,IN,1589964409,6,25.23,77.6,315.0,7.04
Libreville,75,GA,1589964410,94,0.39,9.45,299.15,2.6
Pedernales,99,DO,1589964414,68,18.04,-71.74,298.66,1.35
Semey,75,KZ,1589964415,52,50.41,80.23,293.15,2.0
Orsha,75,BY,1589964417,70,54.52,30.41,283.15,4.0
Kampong Thom,90,KH,1589964418,49,12.71,104.89,308.05,1.32
Voskresenskoye,100,RU,1589964419,60,56.84,45.43,282.07,4.35
Ust'-Ishim,22,RU,1589964420,41,57.69,71.17,292.59,4.3
Hirara,75,JP,1589964421,78,24.8,125.28,299.15,5.7
Qaqortoq,37,GL,1589964422,20,60.72,-46.03,281.15,7.7
Mīnāb,84,IR,1589964424,42,27.15,57.08,310.15,3.1
Tabas,100,IR,1589964429,22,33.6,56.92,304.15,2.1
Shenjiamen,29,CN,1589964430,72,29.96,122.3,293.88,5.79
Soke,62,ML,1589964433,31,13.6,-5.94,308.21,2.71
Arrondissement de Troyes,0,FR,1589964435,64,48.33,4.08,294.15,2.1
Bridlington,52,GB,1589964436,77,54.08,-0.19,291.48,0.5
Pangody,5,RU,1589964437,29,65.85,74.49,299.85,10.11
Nishihara,75,JP,1589964438,53,26.18,127.76,299.15,4.1
Matara,79,LK,1589964440,67,5.95,80.54,303.71,6.91
Staffanstorp,70,SE,1589964441,62,55.64,13.21,286.48,3.1
Magistral'nyy,100,RU,1589964443,41,56.17,107.45,291.36,3.77
Giehun,50,SL,1589964444,85,7.88,-11.05,299.88,0.88
Kharan,19,PK,1589964249,12,28.58,65.42,308.97,2.61
Kushmurun,96,KZ,1589964446,60,52.45,64.63,290.05,8.0
Churapcha,99,RU,1589964448,34,62.0,132.43,288.77,3.19
Biltine,0,TD,1589964449,26,14.53,20.92,309.81,6.62
Bucerías,0,MX,1589964450,74,20.75,-105.33,293.62,1.73
Sawākin,0,SD,1589964451,30,19.11,37.33,310.36,2.93
Qandala,0,SO,1589964452,41,11.47,49.87,307.87,3.5
Solana Beach,90,US,1589964454,72,32.99,-117.27,289.26,1.5
Mountain Home,75,US,1589964204,88,43.13,-115.69,281.15,4.1
Guerrero,0,MX,1589964456,35,17.67,-100.0,294.3,1.98
Taoudenni,0,ML,1589964457,11,22.68,-3.98,306.91,6.83
Uvat,99,RU,1589964459,53,59.14,68.9,289.95,4.97
Ineu,75,RO,1589964463,82,46.43,21.85,291.15,6.2
Tatarskaya Pishlya,3,RU,1589964467,53,54.06,44.9,285.26,4.8
Upata,80,VE,1589964468,85,8.01,-62.4,298.71,1.35
Lumphat,100,KH,1589964470,59,13.49,106.98,306.22,1.62
Pecos,1,US,1589964471,31,31.42,-103.49,299.15,2.6
Muisne,99,EC,1589964473,85,0.6,-80.03,297.99,2.15
Akşehir,83,TR,1589964475,20,38.36,31.42,302.87,2.39
Juneau,90,US,1589964476,93,58.3,-134.42,281.48,2.1
Vostok,79,RU,1589964478,37,46.49,135.88,287.57,2.46
Discovery Bay,7,US,1589964479,96,37.91,-121.6,286.48,3.82
Krasnogorskiy,98,RU,1589964480,56,54.6,61.23,287.32,4.72
Maniitsoq,0,GL,1589964481,88,65.42,-52.9,274.2,2.01
Wajir,39,KE,1589964482,50,1.75,40.06,303.81,7.26
Lethem,36,GY,1589964484,85,3.38,-59.8,297.64,2.52
Tura,98,IN,1589964439,64,25.52,90.22,299.53,4.28
Bolotnoye,100,RU,1589964486,51,55.67,84.4,298.61,5.13
Las Juntas,0,MX,1589964310,84,19.42,-104.7,292.76,0.8
Khandagayty,20,RU,1589964490,29,50.73,92.05,295.9,3.81
Luan,0,CH,1589964493,60,46.36,6.98,291.48,0.45
Bara,66,NG,1589964495,53,10.37,10.73,305.11,6.07
Fallon,90,US,1589964256,66,39.47,-118.78,282.15,5.7
Zhezkazgan,90,KZ,1589964499,34,47.8,67.71,293.15,9.0
Aswān,23,EG,1589964500,13,24.09,32.91,313.87,5.33
San Jose,90,US,1589964426,67,37.34,-121.89,287.15,2.1
Jishou,100,CN,1589964505,91,28.32,109.72,293.69,0.93
Barra de Tecoanapa,6,MX,1589964506,66,16.52,-98.75,298.23,1.88
Ekibastuz,65,KZ,1589964508,32,51.67,75.37,294.49,5.69
Yumen,100,CN,1589964509,12,40.28,97.2,301.46,4.27
San Quintín,0,MX,1589964364,74,30.48,-115.95,288.67,7.36
Toledo,0,ES,1589964511,41,39.83,-4.0,295.93,1.79
Synya,93,RU,1589964513,72,65.37,58.04,286.68,1.51
Rhyl,7,GB,1589964514,66,53.32,-3.49,291.48,2.68
Belaya Gora,0,RU,1589964517,49,68.53,146.42,282.4,2.75
Singkang,20,MY,1589964519,79,2.1,102.8,304.15,1.5
Togul,29,RU,1589964520,44,53.47,85.91,300.19,4.23
Fangshan,75,CN,1589964522,27,39.7,115.99,305.93,1.51
Krasnosilka,100,UA,1589964523,49,46.62,30.77,294.15,5.0
Adré,0,TD,1589964526,27,13.47,22.2,307.81,3.57
Vysokogornyy,84,RU,1589964528,41,50.12,139.15,287.6,1.06
Evensk,23,RU,1589964529,68,61.95,159.23,278.17,5.81
Lukovetskiy,90,RU,1589964530,75,64.3,41.92,278.15,5.0
The Pas,90,CA,1589964531,81,53.83,-101.25,279.15,3.6
Cambridge,1,CA,1589964481,87,43.36,-80.31,282.59,2.6
Chu,1,KZ,1589964539,36,43.6,73.76,296.81,2.29
Dingle,100,PH,1589964542,65,11.0,122.67,304.48,1.57
Aklavik,5,CA,1589964543,63,68.22,-135.01,271.15,3.1
Deputatsky,0,RU,1589964545,76,69.3,139.9,276.88,0.38
Acapulco de Juárez,0,MX,1589964546,54,16.86,-99.89,298.57,1.68
Saint-Augustin,78,CA,1589964547,88,51.23,-58.65,274.67,3.34
Cockburn Town,100,TC,1589964548,84,21.46,-71.14,299.86,8.67
Gigmoto,70,PH,1589964550,74,13.78,124.39,302.87,2.32
Djibouti,1,DJ,1589964552,19,11.5,42.5,314.15,2.89
Zhaotong,99,CN,1589964554,51,27.32,103.72,298.04,3.19
Ust-Maya,69,RU,1589964557,39,60.42,134.53,286.08,4.29
Masalli,40,KR,1589964558,59,34.8,126.66,291.15,5.1
Nikolskoye,75,RU,1589964559,61,59.7,30.79,283.15,5.0
Bagdarin,99,RU,1589964562,33,54.43,113.6,289.26,1.95
Nioro,4,GM,1589964563,39,13.35,-15.75,299.47,3.64
Almaznyy,20,RU,1589964567,49,48.04,40.05,294.15,12.0
Jalu,0,LY,1589964568,22,29.03,21.55,307.97,6.65
Bud,99,US,1589964570,98,39.45,-86.18,286.48,4.89
Hofn,90,IS,1589964571,80,64.25,-15.21,278.15,3.6
Cervo,0,ES,1589964573,1,43.67,-7.41,292.59,2.96
Terney,84,RU,1589964575,66,45.05,136.61,279.89,2.63
Asău,100,RO,1589964578,86,46.43,26.4,284.82,2.44
Tuy Hoa,100,VN,1589964580,68,13.08,109.3,304.76,6.58
Tombouctou,0,ML,1589964581,10,20.0,-3.0,306.59,7.13
Porto-Novo,20,BJ,1589964582,78,6.5,2.6,300.15,1.5
Pangnirtung,100,CA,1589964586,89,66.15,-65.71,269.92,2.77
Huaiyuan,95,CN,1589964589,30,32.97,117.2,303.34,3.47
Adzopé,98,CI,1589964591,88,6.11,-3.86,299.68,1.77
Sovetskaya,84,RU,1589964592,47,44.78,41.17,294.79,2.98
Marzuq,61,YE,1589964593,16,14.4,46.47,307.4,2.59
Preston,56,GB,1589964594,82,53.77,-2.72,292.04,2.1
Kathu,75,TH,1589964595,83,7.92,98.33,302.15,3.1
Aksu,100,CN,1589964596,31,41.12,80.26,297.68,8.47
Zabid,13,YE,1589964598,37,14.2,43.32,311.38,5.22
Galle,95,LK,1589964602,73,6.04,80.22,303.03,6.39
Drexel Heights,1,US,1589964603,13,32.14,-111.03,293.15,2.1
Ziro,90,IN,1589964605,79,27.63,93.83,302.15,2.1
Tabligbo,20,TG,1589964606,78,6.58,1.5,301.15,3.6
Punta Cardon,100,VE,1589964607,82,11.66,-70.22,298.51,10.9
Mogadishu,40,SO,1589964608,66,2.04,45.34,303.15,5.7
Elizabeth City,90,US,1589964522,87,36.29,-76.25,287.15,11.8
Kabarnet,75,KE,1589964611,72,0.49,35.74,293.15,3.1
Klaksvík,90,FO,1589964612,100,62.23,-6.59,282.15,4.6
Urdoma,99,RU,1589964613,41,61.75,48.54,290.6,3.08
Marawi,100,PH,1589964615,84,8.0,124.29,302.59,3.58
Digha,100,IN,1589964616,92,21.68,87.55,298.14,23.69
Pingliang,100,CN,1589964619,49,35.54,106.69,295.95,4.17
Promyshlennaya,20,RU,1589964621,32,54.92,85.64,301.15,1.0
Yerbogachën,31,RU,1589964622,32,61.28,108.01,291.72,4.84
Ola,66,RU,1589964623,63,59.58,151.28,279.38,1.79
Qingyuan,75,CN,1589964624,83,23.7,113.03,303.71,4.0
Margate,0,GB,1589964626,87,51.38,1.39,294.82,2.24
Puerto Escondido,50,MX,1589964366,68,15.85,-97.07,301.43,2.44
